Date,Open,High,Low,Close,Volume
3-Jan-17,116.03,117.84,115.51,116.86,20663912
4-Jan-17,117.55,119.66,117.29,118.69,19630932
5-Jan-17,118.86,120.95,118.32,120.67,19492150
6-Jan-17,120.98,123.88,120.03,123.41,28545263
9-Jan-17,123.55,125.43,123.04,124.90,22880360
10-Jan-17,124.82,125.50,124.28,124.35,17324590
11-Jan-17,124.35,126.12,124.06,126.09,18356523
12-Jan-17,125.61,126.73,124.80,126.62,18653914
13-Jan-17,127.49,129.27,127.37,128.34,24884325
17-Jan-17,128.04,128.34,127.40,127.87,15294460
18-Jan-17,128.41,128.43,126.84,127.92,13145852
19-Jan-17,128.23,128.35,127.45,127.55,12195465
20-Jan-17,128.10,128.48,126.78,127.04,19097223
23-Jan-17,127.31,129.25,126.95,128.93,16593563
24-Jan-17,129.38,129.90,128.38,129.37,15162724
25-Jan-17,130.00,131.74,129.77,131.48,18777314
26-Jan-17,131.63,133.14,131.44,132.78,20020141
27-Jan-17,132.68,132.95,131.08,132.18,19539514
30-Jan-17,131.58,131.58,129.60,130.98,18956095
31-Jan-17,130.17,130.66,129.52,130.32,19790484
1-Feb-17,132.25,133.49,130.68,133.23,50139775
2-Feb-17,133.22,135.49,130.40,130.84,54366447
3-Feb-17,131.24,132.85,130.76,130.98,24804890
6-Feb-17,130.98,132.06,130.30,132.06,17058494
7-Feb-17,132.24,133.00,131.66,131.84,14596449
8-Feb-17,132.60,134.44,132.44,134.20,22390556
9-Feb-17,134.49,134.50,133.31,134.14,16470609
10-Feb-17,134.10,134.94,133.68,134.19,15061939
13-Feb-17,134.70,134.70,133.70,134.05,13526221
14-Feb-17,134.10,134.23,132.55,133.85,14364877
15-Feb-17,133.45,133.70,132.66,133.44,13226534
16-Feb-17,133.07,133.87,133.02,133.84,12831092
17-Feb-17,133.50,134.09,133.17,133.53,12276490
21-Feb-17,133.50,133.91,132.90,133.72,14759109
22-Feb-17,133.60,136.79,133.46,136.12,27360092
23-Feb-17,135.89,136.12,134.33,135.36,18422549
24-Feb-17,134.16,135.62,134.16,135.44,12625742
27-Feb-17,135.26,137.18,135.02,136.41,14306668
28-Feb-17,136.79,136.80,134.75,135.54,16112092
1-Mar-17,136.47,137.48,136.30,137.42,16257010
2-Mar-17,137.09,137.82,136.31,136.76,12294804
3-Mar-17,136.63,137.33,136.08,137.17,11160563
6-Mar-17,136.88,137.83,136.51,137.42,12748179
